id,pdb_id,dataset,cluster,cluster_color,xas_rel,chir_rel
5vuz_ZN_homo_d2.60_cluster1,5vuz,4cys,1,#aec7e8,data/4cys-large/calculated-spectra/5vuz_ZN_homo_d2.60_cluster1/xas-5vuz_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/5vuz_ZN_homo_d2.60_cluster1/chi-R-5vuz_ZN_homo_d2.60_cluster1.dat
5xxj_ZN_homo_d2.60_cluster2,5xxj,4cys,12,#e377c2,data/4cys-large/calculated-spectra/5xxj_ZN_homo_d2.60_cluster2/xas-5xxj_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5xxj_ZN_homo_d2.60_cluster2/chi-R-5xxj_ZN_homo_d2.60_cluster2.dat
5yj0_ZN_homo_d2.60_cluster14,5yj0,4cys,6,#d62728,data/4cys-large/calculated-spectra/5yj0_ZN_homo_d2.60_cluster14/xas-5yj0_ZN_homo_d2.60_cluster14.dat,data/4cys-large/calculated-spectra/5yj0_ZN_homo_d2.60_cluster14/chi-R-5yj0_ZN_homo_d2.60_cluster14.dat
5yj1_ZN_homo_d2.60_cluster4,5yj1,4cys,6,#d62728,data/4cys-large/calculated-spectra/5yj1_ZN_homo_d2.60_cluster4/xas-5yj1_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/5yj1_ZN_homo_d2.60_cluster4/chi-R-5yj1_ZN_homo_d2.60_cluster4.dat
5yug_ZN_homo_d2.60_cluster2,5yug,4cys,14,#7f7f7f,data/4cys-large/calculated-spectra/5yug_ZN_homo_d2.60_cluster2/xas-5yug_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/5yug_ZN_homo_d2.60_cluster2/chi-R-5yug_ZN_homo_d2.60_cluster2.dat
5z85_ZN_homo_d2.60_cluster1,5z85,4cys,6,#d62728,data/4cys-large/calculated-spectra/5z85_ZN_homo_d2.60_cluster1/xas-5z85_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/5z85_ZN_homo_d2.60_cluster1/chi-R-5z85_ZN_homo_d2.60_cluster1.dat
6g5p_ZN_homo_d2.60_cluster4,6g5p,4cys,0,#1f77b4,data/4cys-large/calculated-spectra/6g5p_ZN_homo_d2.60_cluster4/xas-6g5p_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/6g5p_ZN_homo_d2.60_cluster4/chi-R-6g5p_ZN_homo_d2.60_cluster4.dat
6mbo_ZN_homo_d2.60_cluster4,6mbo,4cys,8,#9467bd,data/4cys-large/calculated-spectra/6mbo_ZN_homo_d2.60_cluster4/xas-6mbo_ZN_homo_d2.60_cluster4.dat,data/4cys-large/calculated-spectra/6mbo_ZN_homo_d2.60_cluster4/chi-R-6mbo_ZN_homo_d2.60_cluster4.dat
6ngl_ZN_homo_d2.60_cluster1,6ngl,4cys,1,#aec7e8,data/4cys-large/calculated-spectra/6ngl_ZN_homo_d2.60_cluster1/xas-6ngl_ZN_homo_d2.60_cluster1.dat,data/4cys-large/calculated-spectra/6ngl_ZN_homo_d2.60_cluster1/chi-R-6ngl_ZN_homo_d2.60_cluster1.dat
6r13_ZN_homo_d2.60_cluster2,6r13,4cys,6,#d62728,data/4cys-large/calculated-spectra/6r13_ZN_homo_d2.60_cluster2/xas-6r13_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/6r13_ZN_homo_d2.60_cluster2/chi-R-6r13_ZN_homo_d2.60_cluster2.dat
6r1a_ZN_homo_d2.60_cluster3,6r1a,4cys,7,#ff9896,data/4cys-large/calculated-spectra/6r1a_ZN_homo_d2.60_cluster3/xas-6r1a_ZN_homo_d2.60_cluster3.dat,data/4cys-large/calculated-spectra/6r1a_ZN_homo_d2.60_cluster3/chi-R-6r1a_ZN_homo_d2.60_cluster3.dat
6r5e_ZN_homo_d2.60_cluster2,6r5e,4cys,13,#f7b6d2,data/4cys-large/calculated-spectra/6r5e_ZN_homo_d2.60_cluster2/xas-6r5e_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/6r5e_ZN_homo_d2.60_cluster2/chi-R-6r5e_ZN_homo_d2.60_cluster2.dat
6rxm_ZN_homo_d2.60_cluster2,6rxm,4cys,10,#8c564b,data/4cys-large/calculated-spectra/6rxm_ZN_homo_d2.60_cluster2/xas-6rxm_ZN_homo_d2.60_cluster2.dat,data/4cys-large/calculated-spectra/6rxm_ZN_homo_d2.60_cluster2/chi-R-6rxm_ZN_homo_d2.60_cluster2.dat
